"Study_id","train_layer","test_layer","threshold","TP","FN","TN","FP","specificity","precision","recall","f1_score","balanced_accuracy","mcc","mse","rmse"
"1_Bartomeus",1,2,0.6,2.56,4.44,4.88,2.12,0.697142857142857,0.558547619047619,0.365714285714286,0.45169641233471,0.531428571428571,0.0715200631036192,10.1406549471282,2.91398759046873
"1_Bartomeus",1,2,0.7,1.86,5.14,5.84,1.16,0.834285714285714,0.62536231884058,0.265714285714286,0.42198248905566,0.55,0.131405233643021,10.1406549471282,2.91398759046873
"1_Bartomeus",1,2,0.8,0.44,6.56,6.62,0.38,0.945714285714286,0.557471264367816,0.0628571428571428,0.255555555555556,0.504285714285714,0.0301803364807687,10.1406549471282,2.91398759046873
"1_Bartomeus",1,2,0.9,0,7,7,0,1,NA,0,NA,0.5,NA,10.1406549471282,2.91398759046873
"1_Bartomeus",1,2,1,0,7,7,0,1,NA,0,NA,0.5,NA,10.1406549471282,2.91398759046873
"1_Bartomeus",1,3,0,6,0,0,6,0,0.5,1,0.666666666666667,0.5,NA,4.87434083548787,1.8244678973138
"1_Bartomeus",1,3,0.1,6,0,0,6,0,0.5,1,0.666666666666667,0.5,NA,4.87434083548787,1.8244678973138
"1_Bartomeus",1,3,0.2,6,0,0,6,0,0.5,1,0.666666666666667,0.5,NA,4.87434083548787,1.8244678973138
"1_Bartomeus",1,3,0.3,6,0,0,6,0,0.5,1,0.666666666666667,0.5,NA,4.87434083548787,1.8244678973138
"1_Bartomeus",1,3,0.4,6,0,0,6,0,0.5,1,0.666666666666667,0.5,NA,4.87434083548787,1.8244678973138
"1_Bartomeus",1,3,0.5,5.22,0.78,2.24,3.76,0.373333333333333,0.58830303030303,0.87,0.697801659125189,0.621666666666667,0.285991175832834,4.87434083548787,1.8244678973138
"1_Bartomeus",1,3,0.6,1.68,4.32,4.64,1.36,0.773333333333333,0.593402777777778,0.28,0.395449735449735,0.526666666666667,0.076568697550591,4.87434083548787,1.8244678973138
"1_Bartomeus",1,3,0.7,0.6,5.4,5.14,0.86,0.856666666666667,0.432478632478632,0.1,0.297050505050505,0.478333333333333,-0.0675325697668299,4.87434083548787,1.8244678973138
"1_Bartomeus",1,3,0.8,0,6,5.94,0.06,0.99,0,0,NA,0.495,-0.301511344577764,4.87434083548787,1.8244678973138
"1_Bartomeus",1,3,0.9,0,6,6,0,1,NA,0,NA,0.5,NA,4.87434083548787,1.8244678973138
"1_Bartomeus",1,3,1,0,6,6,0,1,NA,0,NA,0.5,NA,4.87434083548787,1.8244678973138
"1_Bartomeus",1,4,0,8,0,0,8,0,0.5,1,0.666666666666667,0.5,NA,2.24934015149053,1.36015452333235
"1_Bartomeus",1,4,0.1,8,0,0,8,0,0.5,1,0.666666666666667,0.5,NA,2.24934015149053,1.36015452333235
"1_Bartomeus",1,4,0.2,8,0,0,8,0,0.5,1,0.666666666666667,0.5,NA,2.24934015149053,1.36015452333235
"1_Bartomeus",1,4,0.3,8,0,0,8,0,0.5,1,0.666666666666667,0.5,NA,2.24934015149053,1.36015452333235
"1_Bartomeus",1,4,0.4,8,0,0,8,0,0.5,1,0.666666666666667,0.5,NA,2.24934015149053,1.36015452333235
"1_Bartomeus",1,4,0.5,6.66,1.34,2.5,5.5,0.3125,0.555711177711178,0.8325,0.659218243535379,0.5725,0.178788529758053,2.24934015149053,1.36015452333235
"1_Bartomeus",1,4,0.6,3.18,4.82,6.14,1.86,0.7675,0.627515873015873,0.3975,0.493553984822367,0.5825,0.177167549985356,2.24934015149053,1.36015452333235
"1_Bartomeus",1,4,0.7,0.42,7.58,7.64,0.36,0.955,0.522222222222222,0.0525,0.244893378226712,0.50375,0.0179364208938105,2.24934015149053,1.36015452333235
"1_Bartomeus",1,4,0.8,0.1,7.9,8,0,1,1,0.0125,0.222222222222222,0.50625,0.258198889747161,2.24934015149053,1.36015452333235
"1_Bartomeus",1,4,0.9,0,8,8,0,1,NA,0,NA,0.5,NA,2.24934015149053,1.36015452333235
"1_Bartomeus",1,4,1,0,8,8,0,1,NA,0,NA,0.5,NA,2.24934015149053,1.36015452333235
"1_Bartomeus",1,5,0,14,0,0,14,0,0.5,1,0.666666666666667,0.5,NA,4.21340322548258,1.941798358958
"1_Bartomeus",1,5,0.1,14,0,0,14,0,0.5,1,0.666666666666667,0.5,NA,4.21340322548258,1.941798358958
"1_Bartomeus",1,5,0.2,14,0,0,14,0,0.5,1,0.666666666666667,0.5,NA,4.21340322548258,1.941798358958
"1_Bartomeus",1,5,0.3,14,0,0,14,0,0.5,1,0.666666666666667,0.5,NA,4.21340322548258,1.941798358958
"1_Bartomeus",1,5,0.4,14,0,0,14,0,0.5,1,0.666666666666667,0.5,NA,4.21340322548258,1.941798358958
"1_Bartomeus",1,5,0.5,11.94,2.06,4.88,9.12,0.348571428571429,0.568993338651597,0.852857142857143,0.680847132597282,0.600714285714286,0.236663175979491,4.21340322548258,1.941798358958
"1_Bartomeus",1,5,0.6,9.3,4.7,8.14,5.86,0.581428571428571,0.619067953546282,0.664285714285714,0.636291372944949,0.622857142857143,0.25042874702137,4.21340322548258,1.941798358958
