Var1,Var2,Freq,Bioregion
K18_2018,K14_2018,1,Boreal
K43_2018,K14_2018,1,Boreal
L37_2014,K14_2021,1,Boreal
K14_2018,K18_2018,1,Boreal
K43_2018,K18_2018,1,Boreal
L9_2020,K34_2021,1,Boreal
K35_2019,K35_2018,1,Boreal
K35_2018,K35_2019,1,Boreal
K14_2018,K43_2018,1,Boreal
K18_2018,K43_2018,1,Boreal
